,year,champ,wins,points,gender
0,1950,Farina,3,30,m
1,1951,Fangio,3,31,m
2,1952,Ascari,6,36,m
3,1953,Ascari,5,34,m
4,1954,Fangio,6,42,m
5,1955,Fangio,4,40,m
6,1956,Fangio,3,30,m
7,1957,Fangio,4,40,m
8,1958,Hawthorne,1,42,m
9,1959,Brabham,2,43,m
