Award Name,Award Number,year_of_award,Name,Nationality,Birthplace,date_of_birth,Anscestry,Faith,sexual_orientation,Movie,movie_genre,movie_type,IMDB_rate,RottenTomatoesCritics_rate,RottenTomatoesPublic_rate
Best Actor,61,1988,Dustin Hoffman,American,US,8-Aug-1937,European,Jewish,Straight,Rainman,Comedy /road movie,film,8.0,0.89,0.90
Best Director,62,1989,Oliver Stone,American,US,15-Sep-1946,European,Atheist/buddhist,Straight,Born on the Fourth of July,Biographical war,film,7.2,0.88,0.76
Best Actress,62,1989,Jessica Tandy,English-American,England,7-Jun-1909,European,Na,Straight,Driving Miss Daisy,Comedy drama,film,7.4,0.82,0.81
Best Actor,62,1989,Daniel Day-Lewis,British-Irish,England,29-Apr-1957,European,Agnostic,Straight,My Left Foot,Biographical comedy,film,7.9,0.97,0.92
Best Director,63,1990,Kevin Costner,American,US,18-Jan-1955,European,Baptist,Straight,Dances with Wolves,Western,film,8.0,0.82,0.87
Best Actress,63,1990,Kathy Bates,American,US,28-Jun-1948,European,Na,Straight,Misery,Psychological horror thriller,film,7.8,0.89,0.89
Best Actor,63,1990,Jeremy Irons,English,England,19-Sep-1948,European,Roman Catholic,Straight,Reversal of Fortune,Biographical drama,film,7.3,0.94,0.77
Best Director,64,1991,Jonathan Demme,American,US,22-Feb-1944,European,Na,Straight,The Silence of the Lambs,Horror-thriller drama,film,8.6,0.96,0.95
Best Actress,64,1991,Jodie Foster,American,US,19-Nov-1962,European,Atheist,Gay,The Silence of the Lambs,Horror-thriller drama,film,8.6,0.96,0.95
Best Actor,64,1991,Anthony Hopkins,Welsh-American,Wales,31-Dec-1937,European,Agnostic,Straight,Silence of the Lambs,Horror-thriller drama,film,8.6,0.96,0.95
Best Director,65,1992,Clint Eastwood,American,US,31-May-1930,European,Buddhist,Straight,Unforgiven,Western,film,8.2,0.96,0.93
Best Actress,65,1992,Emma Thompson,British,England,15-Apr-1959,European,Atheist,Straight,Howards End,Romantic drama,film,7.5,0.94,0.82
Best Actor,65,1992,Al Pacino,American,US,25-Apr-1940,European,Roman Catholic,Straight,Scent of a Woman,Drama,film,8.0,0.88,0.92
Best Director,66,1993,Steven Spielberg,American,US,18-Dec-1946,European,Jewish,Straight,Schindler's List,Epic historical,film,8.9,0.97,0.97
Best Actress,66,1993,Holly Hunter,American,US,20-Mar-1958,European,Agnostic atheistg,Straight,The Piano,Drama,film,7.6,0.92,0.86
Best Actor,66,1993,Tom Hanks,American,US,9-Jul-1956,European,Greek Orthodox,Straight,Philadelphia,Drama,film,7.7,0.79,0.89
Best Director,67,1994,Robert Zemeckis,American,US,14-May-1952,European,Roman Catholic,Straight,Forrest Gump,Comedy,film,8.8,0.73,0.95
Best Actress,67,1994,Jessica Lange,American,US,20-Apr-1949,European,Budhist,Straight,Blue Sky,Drama,film,6.4,0.78,0.57
Best Actor,67,1994,Tom Hanks,American,US,9-Jul-1956,European,Greek Orthodox,Straight,Forrest Gump,Comedy,film,8.8,0.73,0.95
Best Director,68,1995,Mel Gibson,American,US,3-Jan-1956,European,Roman Catholic,Straight,Braveheart,Epic war drama,film,8.4,0.76,0.85
Best Actress,68,1995,Susan Sarandon,American,US,4-Oct-1946,European,Roman Catholic,Straight,Dead Man Walking,Crime drama,film,7.5,0.95,0.85
Best Actor,68,1995,Nicolas Cage,American,US,7-Jan-1964,European,Roman Catholic,Straight,Leaving Las Vegas,Romantic tragedy,film,7.5,0.90,0.85
Best Director,69,1996,Anthony Minghella,British,England,6-Jan-1954,European,Na,Straight,The English Patient,Romantic war drama,film,7.4,0.84,0.83
Best Actress,69,1996,Frances McDormand,American,US,23-Jun-1957,European,Protestant,Straight,Fargo,black comedy,,8.1,0.93,0.93
Best Actor,69,1996,Geoffrey Rush,Australian,Australia,6-Jul-1951,European,Na,Straight,Shine,Biographical drama,film,7.7,0.91,0.90
Best Director,70,1997,James Cameron,Canadian,Canada,16-Aug-1954,European,Atheist,Straight,Titanic,Romance,film,7.8,Na,0.71
Best Actress,70,1997,Helen Hunt,American,US,15-Jun-1963,European,Na,Straight,As Good As It Gets,Romantic Comedy,film,7.7,0.85,0.86
Best Actor,70,1996,Jack Nicholson,American,US,22-Apr-1937,European,Atheist,Straight,As Good as It Gets,Romantic Comedy,film,7.7,0.85,0.86
Best Director,71,1998,Steven Spielberg,American,US,18-Dec-1946,European,Jewish,Straight,Saving Private Ryan,Epic war drama,film,8.6,0.93,0.95
Best Actress,71,1998,Gwyneth Paltrow,American,US,27-Sep-1972,European,Jewish,Straight,Shakespeare in Love,Romantic Comedy,film,7.1,0.92,0.80
Best Actor,71,1998,Roberto Benigni,Italian,Italy,27-Oct-1952,European,Na,Straight,Life is Beautiful,Comedy,film,8.6,0.80,0.96
Best Director,72,1999,Sam Mendes,English,England,1-Aug-1965,European,Na,Straight,American Beauty,Drama,film,8.4,0.88,0.93
Best Actress,72,1999,Hilary Swank,American,US,30-Jul-1974,European,Na,Straight,Boys Don't Cry,Biographic,film,7.6,0.88,0.87
Best Actor,72,1999,Kevin Spacey,American,US,26-Jul-1959,European,Na,Matter of Dispute,American Beauty,Drama,film,8.4,0.88,0.93
Best Director,73,2000,Steven Soderbergh,American,US,14-Jan-1963,European,Atheist,Straight,Traffic,Crime drama,film,7.6,0.92,0.85
Best Actress,73,2000,Julia Roberts,American,US,28-Oct-1967,European,Hindu,Straight,Erin Brockovich,Biographic,film,7.3,0.84,0.81
Best Actor,73,2000,Russell Crowe,New-Zelander,New Zealand,7-Apr-1964,European,Protestant,Straight,Gladiator,epic historical drama,film,8.5,0.76,0.87
Best Director,74,2001,Ron Howard,American,US,1-Mar-1954,European,Na,Straight,A Beautiful Mind,Biographical drama,film,8.2,0.75,0.93
Best Actress,74,2001,Halle Berry,American,US,14-Aug-1966,Multiracial,Na,Straight,Monster's Ball,Romantic drama,film,7.1,0.85,0.67
Best Actor,74,2001,Denzel Washington,American,US,28-Dec-1954,Afro-American,Protestant,Straight,Training Day,Crime Thriller,film,7.7,0.72,0.89
Best Director,75,2002,Roman Polanski,French-Polish,France,18-Aug-1933,European,Atheist,Straight,The Pianist,Biographical drama,film,8.5,0.95,0.95
Best Actress,75,2002,Nicole Kidman,Australian-American,US,20-Jun-1967,European,Roman Catholic,Straight,The Hours,Psychological drama,film,7.6,0.80,0.84
Best Actor,75,2002,Adrien Brody,American,US,14-Apr-1973,European,Jewish,Straight,The Pianist,Biographical drama,film,8.5,0.95,0.95
Best Director,76,2003,Peter Jackson,New-Zelander,New Zealand,31-Oct-1961,European,Na,Straight,The Lord of the Rings: Return of the King,Epic fantaisy adventure,film,8.9,0.93,0.86
Best Actress,76,2003,Charlize Theron,South African -American,South Africa,7-Aug-1975,European,Na,Straight,Monster,Biographical drama,film,7.3,0.81,0.81
Best Actor,76,2002,Sean Penn,American,US,17-Aug-1960,European,Na,Straight,Mystic River,mystery drama,film,8.0,0.88,0.89
Best Director,77,2004,Clint Eastwood,American,US,31-May-1930,European,Buddhist,Straight,Million Dollar Baby,Drama,film,8.1,0.91,0.90
Best Actress,77,2004,Hilary Swank,American,US,30-Jul-1974,European,Na,Straight,Million Dollar Baby,Drama,film,8.1,0.91,0.90
Best Actor,77,2004,Jamie Foxx,American,US,13-Dec-1967,Afro-American,Protestant,Straight,Ray,Biographical drama,musical,7.7,0.80,0.87
Best Director,78,2005,Ang Lee,Taiwanese,Taiwan,23-Oct-1954,Asian,Buddhist,Straight,Brokeback Mountain,Romantic drama,film,7.7,0.87,0.82
Best Actress,78,2005,Reese Witherspoon,American,US,22-Mar-1976,European,Protestant,Straight,Walk the Line,Biographical drama,film,7.9,0.83,0.90
Best Actor,78,2005,Philip Seymour Hoffman,American,US,23-Jul-1967,European,Roman Catholic,Straight,Capote,Biographical drama,film,7.4,0.90,0.81
Best Director,79,2006,Martin Scorsese,American,US,17-Nov-1942,European,Roman Catholic,Straight,The Departed,Crime drama,film,8.5,0.91,0.94
Best Actress,79,2006,Helen Mirren,English,England,26-Jul-1945,European,Atheist,Straight,The Queen,Historical drama,film,7.3,0.97,0.76
Best Actor,79,2006,Forest Whitaker,American,US,15-Jul-1961,Afro-American,Na,Straight,The Last King of Scotland,historical drama,film,7.7,0.87,0.89
Best Director,80,2007,Coen Brothers,American,US,21-Sep-1957,European,Jewish,Straight,No Country for Old Men,Crime Thriller drama,film,8.1,0.93,0.86
Best Actress,80,2007,Marion Cotillard,French,France,30-Sep-1975,European,Na,Straight,La Vie en Rose,Biographic,musical,7.6,0.74,0.84
Best Actor,80,2007,Daniel Day-Lewis,British-Irish,England,29-Apr-1957,European,Agnostic,Straight,There Will Be Blood,Drama,film,8.2,0.91,0.86
Best Director,81,2008,Danny Boyle,English,England,20-Oct-1956,European,Atheist,Straight,Slumdog Millionaire,Drama,film,8.0,0.91,0.90
Best Actress,81,2008,Kate Winslet,English,England,01/07/16,European,Na,Straight,The Reader,Romantic drama,film,7.6,0.63,0.79
Best Actor,81,2008,Sean Penn,American,US,17-Aug-1960,European,Na,Straight,Milk,Biographical drama,film,7.6,0.93,0.89
Best Director,82,2009,Kathryn Bigelow,American,US,27-Nov-1951,European,Na,Straight,The Hurt Locker,War Thriller,film,7.6,0.97,0.84
Best Actress,82,2009,Sandra Bullock,American,US,26-Jul-1964,European,Na,Straight,The Blind Side,Biographical drama,film,7.7,0.66,0.85
Best Actor,82,2009,Jeff Bridges,American,US,4-Dec-1949,European,Budhist,Straight,Crazy Heart,Drama,film,7.3,0.90,0.76
Best Director,83,2010,Tom Hooper,British-Australian,England,05-Oct-1972,European,Na,Na,The King's Speech,Historical drama,film,8.0,0.95,0.92
Best Actress,83,2010,Natalie Portman,Israeli – American,Israel,9-Jun-1981,European,Jewish,Straight,Black Swan,Psychological horror,film,8.0,0.85,0.84
Best Actor,83,2010,Colin Firth,English-Italian,England,10-Sep-1960,European,Na,Straight,The King's Speech,historical drama,film,8.0,0.95,0.92
Best Director,84,2011,Michel Hazanavicius,French,France,29-Mar-1967,European,Jewish,Straight,The Artist,Comedy drama,film,7.9,0.95,0.87
Best Actress,84,2011,Meryl Streep,American,US,22-Jun-1949,European,Na,Straight,The Iron Lady,Biographical drama,film,6.4,0.51,0.51
Best Actor,84,2011,Jean Dujardin,French,France,19-Jun-1972,European,Na,Straight,The Artist,Comedy drama,film,7.9,0.95,0.87
Best Director,85,2012,Ang Lee,Taiwanese,Taiwan,23-Oct-1954,Asian,Buddhist,Straight,Life of Pi,Drama,film,7.9,0.87,0.84
Best Actress,85,2012,Jennifer Lawrence,American,US,15-Aug-1990,European,Na,Na,Silver Linings Playbook,Romantic Comedy,film,7.7,0.92,0.86
Best Actor,85,2012,Daniel Day-Lewis,British-Irish,England,29-Apr-1957,European,Agnostic,Straight,Lincoln,historical drama,film,7.4,0.89,0.80
Best Director,86,2013,Alfonso Cuaron,Mexican,Mexico,28-Nov-1961,Hispano-American,Na,Straight,Gravity,Thriller,film,7.7,0.96,0.80
Best Actress,86,2013,Cate Blanchett,Australian,Australia,14-May-1969,European,Na,Straight,Blue Jasmine,black comedy,film,7.3,0.91,0.77
Best Actor,86,2013,Matthew McConaughey,American,US,4-Nov-1969,European,Christian,Straight,Dallas Buyers Club,biographical drama,film,8.0,0.93,0.91
Best Director,87,2014,Alejandro G. Inarritu,Mexican,Mexico,15-Aug-1963,Hispano-American,Na,Straight,Birdman,Black comedy,film,7.7,0.91,0.77
Best Actress,87,2014,Julianne Moore,British-American,US,03/12/60,European,Atheist,Straight,Still Alice,Drama,film,7.5,0.86,0.85
Best Actor,87,2014,Eddie Redmayne,English,England,6-Jan-1972,European,Na,Na,The Theory of Everything,biographical romantic drama,film,7.7,0.78,0.84
Best Director,88,2015,Alejandro G. Inarritu,Mexican,Mexico,15-Aug-1963,Hispano-American,Na,Straight,The Revenant,Western,film,8.0,0.78,0.84
Best Actress,88,2015,Brie Larson,American,US,1-Oct-1989,European,Na,Na,Room,Drama,film,8.2,0.94,0.93
Best Actor,88,2015,Leonardo DiCaprio,American,US,11-Nov-1974,European,Agnostic,Na,The Revenant,Western,film,8.0,0.78,0.84
Best Director,89,2016,Damian Chazelle,French-American,US,19-Jan-1985,European,Roman Catholic,Straight,La La Land,Romantic,musical,8.0,0.91,0.81
Best Actress,89,2016,Emma Stone,American,US,06/11/88,European,Na,Na,La La Land,Romantic,musical,8.0,0.91,0.81
Best Actor,89,2016,Casey Affleck,American,US,12-Aug-1975,European,Na,Na,Manchester by the Sea,Drama,film,7.8,0.96,0.77
Best Director,90,2017,Guillermo del Toro,Mexican,Mexico,9-Oct-1964,Hispano-American,Atheist,Straight,The Shape of Water,Romantic fantaisy,film,7.4,0.92,0.73
Best Actress,90,2017,Frances McDormand,American,US,23/06/57,European,Protestant,Straight,Three Billboards Outside Ebbing, Missouri,Dark comedy crime,film,8.2,0.91,0.86
Best Actor,90,2017,Gary Oldman,English,England,21-Mar-1978,European,Na,Na,Darkest Hour,war drama,film,7.4,0.84,0.82
,2,,2,2,2,2,2,2,2,2,2,2,2,2
