Award Name,Award Number,year_of_award,Name,Nationality,Birthplace,date_of_birth,Anscestry,Faith,sexual_orientation,Movie,movie_genre,movie_type,IMDB_rate,RottenTomatoesCritics_rate,RottenTomatoesPublic_rate
Best Director,14,1941,John Ford,American,US,1-Feb-1894,European,Roman Catholic,Bisexual,How Green Was My Valley,Drama,film,7.8,0.91,0.81
Best Actress,14,1941,Joan Fontaine,British-American,Japan,22-Oct-1917,European,Na,Straight,Suspicion,Romantic psychological thriller,film,7.4,0.97,0.78
Best Actor,14,1941,Gary Cooper,American,US,7-May-1901,European,Roman Catholic,Straight,Sergeant York,Biographical drama,film,7.8,0.85,0.86
Best Director,15,1942,William Wyler,American,France,1-Jul-1902,European,Jewish,Straight,Mrs. Miniver,Romantic war drama,film,7.6,0.92,0.85
Best Actress,15,1942,Greer Garson,British-American,England,29-Sep-1904,European,Protestant,Straight,Mrs. Miniver,Romantic war drama,film,7.6,0.92,0.85
Best Actor,15,1942,James Cagney,American,US,17-Jul-1899,European,Roman Catholic,Straight,Yankee Doodle Dandy,Biographical drama,musical,7.7,0.92,0.83
Best Director,16,1943,Michael Curtiz,American,Hungary,24-Dec-1886,European,Jewish,Straight,Casablanca,Romantic comedy,film,8.5,0.97,0.95
Best Actress,16,1943,Jennifer Jones,American,US,2-Mar-1919,European,Roman Catholic,Straight,The Song of Bernadette,Biographical drama,film,7.7,0.83,0.80
Best Actor,16,1943,Paul Lukas,Hungarian,Hungary,26-May-1887,European,Jewish,Straight,Watch on the Rhine,Drama,film,7.4,0.8,0.62
Best Director,17,1944,Leo McCarey,American,US,3-Oct-1898,European,Roman Catholic,Straight,Going My Way,Comedy,musical,7.2,0.78,0.76
Best Actress,17,1944,Ingrid Bergman,Swedish,Sweden,29-Aug-1915,European,Protestant,Straight,Gaslight,Mystery thriller,film,7.8,0.86,0.90
Best Actor,17,1944,Bing Crosby,American,US,3-May-1903,European,Roman Catholic,Straight,Going My Way,Comedy,musical,7.2,0.78,0.76
Best Director,18,1945,Billy Wilder,American,Austria,22-Jun-1906,European,Jewish,Straight,The Lost Weekend,Noir,film,8.0,1.00,0.9
Best Actress,18,1945,Joan Crawford,American,US,23-Mar-1904,European,Protestant,Bisexual,Mildred Pierce,Noir,film,8.0,0.85,0.91
Best Actor,18,1945,Ray Milland,Welsh-American,Wales,3-Jan-1907,European,Na,Straight,The Lost Weekend,Noir,film,8.0,1.00,0.9
Best Director,19,1946,William Wyler,American,France,1-Jul-1902,European,Jewish,Straight,The Best Years of Our Lives,Drama,film,8.1,0.96,0.92
Best Actress,19,1946,Olivia de Havilland,British-American,Japan,1-Jul-1916,European,Protestant,Straight,To Each His Own,Romantic drama,film,7.8,Na,0.84
Best Actor,19,1946,Fredric March,American,US,31-Aug-1897,European,Protestant,Straight,The Best Years of Our Lives,Drama,film,8.1,0.96,0.92
Best Director,20,1947,Elia Kazan,Greek-American,Turkey,7-Sep-1909,European,Greek orthodox,Straight,Gentleman's Agreement,Drama,film,7.4,0.78,0.77
Best Actress,20,1947,Loretta Young,American,US,6-Jan-1913,European,Roman Catholic,Straight,The Farmer's Daughter,Play adaptation,film,7.4,1.00,0.78
Best Actor,20,1947,Ronald Colman,English,England,9-Feb-1891,European,Na,Straight,A Double Life,Noir,film,7.1,0.71,0.69
Best Director,21,1948,John Huston,American,US,5-Aug-1906,European,Na,Straight,The Treasure of the Sierra Madre,Western,film,8.2,1.00,0.93
Best Actress,21,1948,Jane Wyman,American,US,5-Jan-1917,European,Roman Catholic,Straight,Johnny Belinda,Drama,film,7.8,0.89,0.88
Best Actor,21,1948,Laurence Olivier,English,England,22-May-1907,European,Protestant,Bisexual,Hamlet,Adaptation Play,film,7.8,0.91,0.81
Best Director,22,1949,Joseph L. Mankiewicz,American,US,11-Feb-1909,European,Jewish,Straight,A Letter to Three Wives,Romantic drama,film,7.8,0.94,0.86
Best Actress,22,1949,Olivia de Havilland,British-American,Japan,1-Jul-1916,European,Protestant,Straight,The Heiress,Drama,film,8.2,1.00,0.93
Best Actor,22,1949,Broderick Crawford,American,US,9-Dec-1911,European,Na,Straight,All The King's Men,Noir,film,7.5,0.97,0.78
Best Director,23,1950,Joseph L. Mankiewicz,American,US,11-Feb-1909,European,Jewish,Straight,All About Eve,Drama,film,8.3,1.00,0.94
Best Actress,23,1950,Judy Holliday,American,US,21-Jun-1921,European,Jewish,Straight,Born Yesterday,Drama,film,7.6,0.95,0.86
Best Actor,23,1950,Jose Ferrer,Porto-Rican,Porto-Rica,8-Jan-1912,Latino American,Na,Straight,Cyrano de Bergerac,Adaptation Play,film,7.6,0.83,0.82
Best Director,24,1951,George Stevens,American,US,18-Dec-1904,European,Na,Straight,A Place in the Sun,Drama,film,7.8,0.75,0.84
Best Actress,24,1951,Vivien Leigh,English,India,5-Nov-1913,European,Roman Catholic,Straight,A Streetcar Named Desire,Drama,film,8.0,0.98,0.90
Best Actor,24,1951,Humphrey Bogart,American,US,25-Dec-1899,European,Protestant,Straight,The Africa Queen,Adventure,film,7.9,0.98,0.86
Best Director,25,1952,John Ford,American,US,1-Feb-1894,European,Roman Catholic,Bisexual,The Quiet Man,Romantic comedy,film,7.8,0.90,0.91
Best Actress,25,1952,Shirley Booth,American,US,30-Aug-1898,European,Na,Straight,Come Back, Little Sheba,Drama,film,7.7,0.83,0.79
Best Actor,25,1952,Gary Cooper,American,US,7-May-1901,European,Roman Catholic,Straight,High Noon,Western,film,8.0,0.96,0.89
Best Director,26,1953,Fred Zinnemann,American,Austria,29-Apr-1907,European,Jewish,Straight,From Here to Eternity,Romantic drama,film,7.7,0.92,0.84
Best Actress,26,1953,Audrey Hepburn,British,Belgium,4-May-1929,European,Protestant,Straight,Roman Holiday,Romantic comedy,film,8.1,0.98,0.93
Best Actor,26,1953,William Holden,American,US,17-Apr-1918,European,Na,Straight,Stalag 17,War Comedy,film,8.0,0.97,0.93
Best Director,27,1954,Elia Kazan,Greek-American,Turkey,7-Sep-1909,European,Greek orthodox,Straight,On the Waterfront,Crime drama,film,8.2,0.98,0.95
Best Actress,27,1954,Grace Kelly,American,US,12-Nov-1929,European,Roman Catholic,Straight,The Country Girl,Drama,film,7.3,0.86,0.78
Best Actor,27,1954,Marlon Brando,American,US,3-Apr-1924,European,Deist,Bisexual,On the Waterfront,Crime drama,film,8.2,0.98,0.95
Best Director,28,1955,Delbert Mann,American,US,30-Jan-1920,European,Presbyterian,Straight,Marty,Romantic drama,film,7.7,1.00,0.87
Best Actress,28,1955,Anna Magnani,Italian,Italy,7-Mar-1908,European,Astrology,Straight,The Rose Tattoo,Play adaptation,film,7.2,o.80,0.76
Best Actor,28,1955,Ernest Borgnine,American,US,24-Jan-1917,European,Na,Straight,Marty,Romantic drama,film,7.7,1.00,0.87
Best Director,29,1956,George Stevens,American,US,18-Dec19-04,European,Na,Straight,Giant,Western,film,7.7,0.95,0.86
Best Actress,29,1956,Ingrid Bergman,Swedish,Sweden,29-Aug-1915,European,Protestant,Straight,Anastasia,Historical drama,film,7.1,0.90,0.77
Best Actor,29,1956,Yul Brynner,Swiss-American,Russia,11-Jul-1920,European,Russian Orthodox,Straight,The King and I,Biographical romantic drama,musical,7.5,0.96,0.83
Best Director,30,1957,David Lean,English,England,25-Mar-1908,European,Quakers,Straight,The Bridge on the River Kwai,Epic war drama,film,8.2,0.94,0.93
Best Actress,30,1957,Joanne Woodward,American,US,27-Feb-1930,European,Na,Straight,The Three Faces of Eve,Mystery drama,film,7.2,0.93,0.77
Best Actor,30,1957,Alec Guinness,English,England,2-Apr-1914,European,Roman Catholic,Bisexual,The Bridge on the River Kwai,Epic war drama,film,8.2,0.94,0.93
Best Director,31,1958,Vincente Minnelli,American,US,28-Feb-1903,European,Na,Bisexual,Gigi,Romance,musical,6.8,0.77,0.74
Best Actress,31,1958,Susan Hayward,American,US,30-Jun-1917,European,Roman Catholic,Straight,I Want To Live!,Noir,film,7.5,0.92,0.83
Best Actor,31,1959,David Niven,English,England,1-Mar-1910,European,Na,Straight,Separate Tables,Drama,film,7.5,0.71,0.79
Best Director,32,1959,William Wyler,American,France,1-Jul-1902,European,Jewish,Straight,Ben-Hur,Epic religious drama,film,8.1,0.87,0.89
Best Actress,32,1959,Simone Signoret,French,Germany,25-Mar-1921,European,Na,Straight,Room at the Top,Drama,film,7.7,1.00,0.82
